# time_stamp[s], p_RS_R_x[m], p_RS_R_y[m], p_RS_R_z[m], q_RS_w[], q_RS_x[], q_RS_y[], q_RS_z[], v_R_x[m/s], v_R_y[m/s], v_R_z[m/s], gyr_S_x[rad/s], gyr_S_y[rad/s], gyr_S_z[rad/s], acc_S_x[m/s^2], acc_S_y[m/s^2], acc_S_z[m/s^2]
0.425000,0.000287,0.000287,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.430000,0.000290,0.000290,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.435000,0.000294,0.000294,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.440000,0.000297,0.000297,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.445000,0.000300,0.000300,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.450000,0.000304,0.000304,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.455000,0.000307,0.000307,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.460000,0.000311,0.000311,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.465000,0.000314,0.000314,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.470000,0.000317,0.000317,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.475000,0.000321,0.000321,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.480000,0.000324,0.000324,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.485000,0.000327,0.000327,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.490000,0.000331,0.000331,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.495000,0.000334,0.000334,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.500000,0.000338,0.000338,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.505000,0.000341,0.000341,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.510000,0.000344,0.000344,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
